 N       t          x           y           z           R      sigma         Ppr   
10  210.00   16548.64    26804.46        1.00    31501.38  0.00939432  0.000000000000000000000000004327  
10  240.00   18912.59    30633.53        1.00    36001.38  0.00939827  0.000000000000000000000000002537  
10  270.00   21276.54    34462.59        1.00    40501.38  0.00940134  0.000000000000000000000000001585  
10  300.00   23640.49    38291.66        1.00    45001.38  0.00940380  0.000000000000000000000000001040  
10  330.00   26004.44    42120.72        1.00    49501.38  0.00940581  0.000000000000000000000000000710  
10  360.00   28368.39    45949.79        1.00    54001.38  0.00940748  0.000000000000000000000000000502  
10  390.00   30732.34    49778.86        1.00    58501.38  0.00940890  0.000000000000000000000000000364  
10  420.00   33096.29    53607.92        1.00    63001.38  0.00941012  0.000000000000000000000000000271  
10  450.00   35460.23    57436.99        1.00    67501.38  0.00941117  0.000000000000000000000000000206  
10  480.00   37824.18    61266.05        1.00    72001.38  0.00941209  0.000000000000000000000000000159  
10  510.00   40188.13    65095.12        1.00    76501.38  0.00941290  0.000000000000000000000000000125  
10  540.00   42552.08    68924.19        1.00    81001.38  0.00941363  0.000000000000000000000000000099  
10  570.00   44916.03    72753.25        1.00    85501.38  0.00941427  0.000000000000000000000000000080  
10  600.00   47279.98    76582.32        1.00    90001.38  0.00941485  0.000000000000000000000000000065  
10  630.00   49643.93    80411.38        1.00    94501.38  0.00941538  0.000000000000000000000000000054  
10  660.00   52007.88    84240.45        1.00    99001.38  0.00941586  0.000000000000000000000000000044  
10  690.00   54371.83    88069.51        1.00   103501.38  0.00941630  0.000000000000000000000000000037  
10  720.00   56735.77    91898.58        1.00   108001.38  0.00941670  0.000000000000000000000000000031  
10  750.00   59099.72    95727.65        1.00   112501.38  0.00941707  0.000000000000000000000000000027  
10  780.00   61463.67    99556.71        1.00   117001.38  0.00941741  0.000000000000000000000000000023  
10  810.00   63827.62   103385.78        1.00   121501.38  0.00941772  0.000000000000000000000000000020  
10  840.00   66191.57   107214.84        1.00   126001.38  0.00941801  0.000000000000000000000000000017  
10  870.00   68555.52   111043.91        1.00   130501.38  0.00941829  0.000000000000000000000000000015  
10  900.00   70919.47   114872.98        1.00   135001.38  0.00941854  0.000000000000000000000000000013  
10  930.00   73283.42   118702.04        1.00   139501.38  0.00941878  0.000000000000000000000000000011  
10  960.00   75647.37   122531.11        1.00   144001.38  0.00941900  0.000000000000000000000000000010  
10  990.00   78011.32   126360.17        1.00   148501.38  0.00941921  0.000000000000000000000000000009  
P = 0.000002857344284  iprOL = 3063878708470048400000.00
